File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,word_count,char_count
,ndakurindiririye aha. Ni utabazana turabonana !,"Je t'attends ici. Si tu ne les amènes pas, on va se rencontrer !","I'm waiting for you here. If you don't bring them, we'll meet!",general,,,,,,,6,47
,ndanywa icayi gishushe.,Je bois du thé chaud.,I drink hot tea.,general,,,,,,,3,23
,ndashaka kuzoja i Paris.,Je veux visiter Paris.,I want to visit Paris.,general,,,,,,,4,24
,ndashaka kwiga igifaransa.,Je veux apprendre le français.,I want to learn French.,general,,,,,,,3,26
,ndeka jenyene,Laisse-moi tranquille.,Leave me alone.,general,,,,,,,2,13
,ndemezanya ico ciyumviro,Je suis d'accord avec cette proposition.,I agree with this proposition.,general,,,,,,,3,24
,ndi muburuhuko,Je suis en vacances.,I'm on vacation.,general,,,,,,,2,14
,ndibukore,je suis sur le point de travailler,I am about to work,grammar,,,,,,,1,9
,ndiko ndafata ivya mugitondo.,Je prends mon petit-déjeuner.,I have breakfast.,general,,,,,,,4,29
,ndiko ndafata ivyo mugitondo.,Je prends mon petit-déjeuner.,I have breakfast.,general,,,,,,,4,29
,ndiko ndanywa icayi gishushe.,Je bois du thé chaud.,I drink hot tea.,general,,,,,,,4,29
,ndiko numviriza indirimbo.,J'écoute de la musique.,I listen to music.,general,,,,,,,3,26
,nfashe ingingo,J'ai pris une décision.,I made a decision.,general,,,,,,,2,14
,ngira ndabikosore ubunyene.,Je vais corriger cela immédiatement.,I will correct this immediately.,general,,,,,,,3,27
,ngira nfungure inrya,Je veux manger de la nourriture.,I want to eat food.,general,,,,,,,3,20
,ngiye gufata i tagisi.,Je vais prendre un taxi.,I'm going to take a taxi.,general,,,,,,,4,22
,ngiye gufata imodoka inyunguruza,Je vais prendre un taxi.,I'm going to take a taxi.,general,,,,,,,4,32
,ngiye ku kibanza c'Ikarashishi.,Je vais à la salle de sport.,I go to the gym.,general,,,,,,,4,31
,ngiye ku kibanza ca Ikarashishi.,Je vais à la salle de sport.,I go to the gym.,general,,,,,,,5,32
,ngiye kukazi.,Je vais au travail.,I'm going to work.,general,,,,,,,2,13
,ngiye noze amasahani,Je vais faire la vaisselle.,I'm going to do the dishes.,general,,,,,,,3,20
,ngo mumenye ko Umwana w’umuntu afise ububasha,afin que vous sachiez que le Fils de l'homme a du pouvoir,that you may know that the Son of man has power,grammar,,,,,,,7,45
,ngomba kugura umukate.,Je dois acheter du pain.,I have to buy bread.,general,,,,,,,3,22
,ni icigwa gikomeye,C'est une leçon importante.,This is an important lesson.,general,,,,,,,3,18
,ni icirwa nkenerwa,C'est une leçon importante.,This is an important lesson.,general,,,,,,,3,18
,ni umunyabugenegene.,Elle est une artiste talentueuse.,She is a talented artist.,general,,,,,,,2,20
,ni umunyempano atangaje,Elle est une artiste talentueuse.,She is a talented artist.,general,,,,,,,3,23
,ni ururimi rugoye,C'est une langue difficile.,It's a difficult language.,general,,,,,,,3,17
,nibaza ko arivyo.,Je pense que oui.,I think so.,general,,,,,,,3,17
,nicigwa gihambaye,C'est une leçon importante.,This is an important lesson.,general,,,,,,,2,17
,nifuza amazi,Je veux de l'eau.,I want water.,general,,,,,,,2,12
,niga ubuhinga bwa none,J'étudie l'informatique.,I study computer science.,general,,,,,,,4,22
,nigira kumakosa yanje.,J'apprends de mes erreurs.,I learn from my mistakes.,general,,,,,,,3,22
,nikibazo kigoye,C'est une question difficile.,This is a difficult question.,general,,,,,,,2,15
,nikuberiki ushavuye?,Pourquoi es-tu en colère?,Why are you angry?,general,,,,,,,2,20
,nitwa Samandari,Je m'appelle Samandari.,My name is Samandari.,general,,,,,,,2,15
,niyumva neza muri iki gitondo.,Je me sens mieux ce matin.,I feel better this morning.,general,,,,,,,5,30
,niyumva neza mwiki gitondo.,Je me sens mieux ce matin.,I feel better this morning.,general,,,,,,,4,27
,nkeneye ifu n'isukari.,J'ai besoin de farine et de sucre.,I need flour and sugar.,general,,,,,,,3,22
,nkeneye ifu na isukari.,J'ai besoin de farine et de sucre.,I need flour and sugar.,general,,,,,,,4,23
,nkunda gutambuka nyaruka,Je préfère la marche rapide.,I prefer brisk walking.,general,,,,,,,3,24
,nogiye,je serais parti,I would have gone,grammar,,,,,,,1,6
,ntaco bitwaye.,Ce n'est pas grave.,It's not serious.,general,,,,,,,2,14
,ntakibazo.,Ne t'inquiète pas.,Don't worry.,general,,,,,,,1,10
,ntegerezwa kugura umukate,Je dois acheter du pain.,I have to buy bread.,general,,,,,,,3,25
,ntiwaribwagende,Tu ne l'as encore jamais fait,You have never yet,grammar,,,,,,,1,15
,ntiyaribwagende,Il n'est encore jamais parti,He has never yet gone,grammar,,,,,,,1,15
,ntukigere ubesha narimwe.,Ne mens jamais.,Never lie.,general,,,,,,,3,25
,nza kuba ndi aha isaha cumi.,Je serai là à dix heures.,I'll be there at ten o'clock.,general,,,,,,,6,28
,papa wanje ni umurimyi.,Mon père est agriculteur.,My father is a farmer.,general,,,,,,,4,23
,reka ndabikosore ubunyene.,Je vais corriger cela immédiatement.,I will correct this immediately.,general,,,,,,,3,26
,sinaribwagende,Je ne suis encore jamais parti,I have never yet gone,grammar,,,,,,,1,14
,sinywa ivyambiye.,Je ne bois pas d'alcool.,I don't drink alcohol.,general,,,,,,,2,17
,tugiye mukaguriro.,Nous allons au supermarché.,We are going to the supermarket.,general,,,,,,,2,18
,turi muri ndamukiza.,Nous sommes en avril.,It's April.,general,,,,,,,3,20
,turiko turatambuka bukebuke.,Nous marchons lentement.,We walk slowly.,general,,,,,,,3,28
,twaguranye ibiharuro vyacu,Nous avons échangé nos numéros.,We exchanged numbers.,general,,,,,,,3,26
,twarashitse kuntumbero zacu.,Nous avons atteint nos objectifs.,We have achieved our objectives.,general,,,,,,,3,28
,ubu ni uburiri.,Ceci est un lit.,This is a bed.,vocabulary,,,,,,,3,15
,ubutumwa bwanje bwabashikiriye?,Avez-vous reçu mon message?,Did you receive my message?,general,,,,,,,3,31
,ukwizegwa kuragoye kuronka.,La confiance est difficile à gagner.,Trust is hard to earn.,general,,,,,,,3,27
,umugambi waheze.,Le projet est terminé.,The project is finished.,general,,,,,,,2,16
,umuguzi ntiyashimishijwe,Le client n'est pas satisfait.,The customer is not satisfied.,general,,,,,,,2,24
,umugwi wakoze neza cane,L'équipe a très bien travaillé.,The team worked very well.,general,,,,,,,4,23
,umuriro wo mwifuru yo munzu urorohezenya cane.,Le feu dans la cheminée est confortable.,The fire in the fireplace is cozy.,general,,,,,,,7,46
,umuryango uruguruye.,La porte est ouverte.,The door is open.,general,,,,,,,2,20
,umwana ariko ararira.,Le bébé pleure.,The baby is crying.,general,,,,,,,3,21
,uravuga icongereza,Parlez-vous l'anglais?,Do you speak English?,general,,,,,,,2,18
,uru ni urupapuro.,Ceci est un papier.,This is a paper.,vocabulary,,,,,,,3,17
,urukundo ntirurondera ivyarwo,L'amour ne cherche pas le sien,Love seeks not her own,grammar,,,,,,,3,29
,urutonde rw'ivyigwa ruri ku meza,La liste des cours est sur la table.,The course list is on the table.,general,,,,,,,5,32
,uyu muhingamo ni mwiza.,Cette journée est belle.,This day is beautiful.,general,,,,,,,4,23
