ID,File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender
krd_000041_proverbs,,Abagabo bararyá imbwá zikīshura.,"Parfois, ce sont les innocents qui paient pour les fautes des coupables.","Sometimes, it's the innocent who pay for the faults of the guilty.",proverbs,,,,,,
krd_000042_proverbs,,Abagabo barāra kubiri bakarōta kumwé.,"Des lits séparés, des rêves partagés.","Separated beds, shared dreams.",proverbs,,,,,,
krd_000043_grammar,,Abagiriki bo n’abanyamahanga ndi n’umwenda wabo,"Grecs et étrangers, j'ai une dette envers eux",Greeks and foreigners I have a debt to them,grammar,,,,,,
krd_000044_grammar,,Abaherezi bazanana aho bari ni umukuru w’abashibamyi,Les prêtres sont venus là où ils étaient avec le chef des gardes,The priests came where they were with the chief of the guards,grammar,,,,,,
krd_000045_proverbs,clips/sound_proverb/prov049.mp3,Abahigi benshi bayobeza imbwa.,De nombreux chasseurs en forêt confondent les chiens,Many hunters in the forest confuse the dogs,proverbs,,,,,,
krd_000046_proverbs,,Abahinga babona ko Uburundi bufise kazoza keza,Les ingénieurs pensent que le Burundi a un meilleur avenir.,Engineers believe Burundi has a better future.,proverbs,,,,,,
krd_000047_grammar,,Abakobwa bicare ukwabo n’abahungu ukwabo,Demandez aux filles de s'asseoir seules et aux garçons seuls,Have the girls sit by themselves and the boys by themselves,grammar,,,,,,
krd_000048_adjectives,,Abakobwa ni beza.,Les filles sont belles.,The girls are beautiful.,adjectives,,,,,,
krd_000049_proverbs,clips/sound_proverb/prov050.mp3,Abakunzi ntibarangirira mu mubindi.,C'est impossible de satisfaire tous tes amis,Its impossible to satisfy all your friends,proverbs,,,,,,
krd_000050_jokes,,"Abakòóbwa bā rúguru: Uri mwīzá ,usa nêza ,ufise akabiri nk'âk'úruyoyá, katagirá agahōnzi.","Les filles du village.: Tu es tellement belle, ta peau est vraiment douce, on dirait un bébé, tu es pure.","Village girls: You are so beautiful, your skin is really soft, like a baby, you are pure.",jokes,,,,,,
krd_000051_action-verbs,,Abana bakinira hanze.,Les enfants jouent dehors.,The children are playing outside.,action-verbs,,,,,,
krd_000052_action-verbs,,Abana barakina umupira wamaguru.,Les enfants jouent au football.,The children play football.,action-verbs,,,,,,
krd_000053_general,,Abantu babona ugutandukanye imico n’imigenzo,Les gens voient différement les cultures et traditions,People see cultures and traditions differently,general,,,,,,
krd_000054_emotions,,Abantu bafise umutima mwiza,Les gens sont très gentils.,The people are very nice.,emotions,,,,,,
krd_000055_emotions,,Abantu n'Intungane cane.,Les gens sont très gentils.,The people are very nice.,emotions,,,,,,
krd_000056_proverbs,,Abapfûye akarīmbi baragashīngirwa.,"Si les gens sont en conflit, aidez-les à établir des limites.","If people are in conflict, help them set boundaries.",proverbs,,,,,,
krd_000057_proverbs,,Abapfûye urubíbe baragorōrerwa.,"Dans les litiges concernant les frontières, une division équitable apporte une paix durable.","In disputes over borders, fair division brings lasting peace.",proverbs,,,,,,
krd_000058_grammar,,Abari kumwe na we na bamwe cumi na babiri bamubaza iyo migani,Ceux qui étaient avec lui et les douze l'interrogeaient sur ces paraboles,Those who were with him and the twelve asked him about those parables,grammar,,,,,,
krd_000059_proverbs,,Abarundi barayamaze bati:“hapfa uwavutse”,Les Burundais ont un dicton : ”c'est celui qui est né qui meurt ”.,The Burundians have a saying: “it is he who is born who dies”.,proverbs,,,,,,
krd_000060_proverbs,,Abarundi barayamaze ngo: “agatakaye ntaho katabarizwa”.,Les Burundais ont un proverbe qui dit : “Ce qui est perdu n’a nulle part où être réclamé.”,The Burundians have a proverb that says: “What is lost has nowhere to be reclaimed.”,proverbs,,,,,,
krd_000061_proverbs,,Abarŭndi basība kurima ntíbasībá kuvúga.,"Les Burundais pourraient délaisser leurs devoirs, mais ne ratent jamais une occasion de potins.","Burundians might skip their duties, but never miss a chance to gossip.",proverbs,,,,,,
krd_000062_grammar,,Abashingamateka bacirwa urubanza na Sentare ntahinyuzwa.,Les députés sont jugés par un tribunal susceptible de destitution.,The deputies are tried by a court subject to dismissal.,grammar,,,,,,
krd_000063_proverbs,,Abasângira basīgana imvyíro.,Deux mains dans une marmite peuvent parfois se heurter.,Two hands in a pot may sometimes collide.,proverbs,,,,,,
krd_000064_proverbs,,Abasângira umusa basāngira abânsi.,Des intérêts partagés font des ennemis communs.,Shared interests make common foes.,proverbs,,,,,,
krd_000065_proverbs,,Abatângánya amatáko ntíbīsîgira hamwé.,Les gens ont tendance à rester avec leur propre genre.,People tend to stick with their own kind.,proverbs,,,,,,
krd_000066_proverbs,,Abatúkanye bararwāna.,Ceux qui sèment la discorde entre eux peuvent finir par entrer en conflit.,Those who sow discord between themselves may eventually engage in conflict.,proverbs,,,,,,
krd_000067_proverbs,,Abavyeyi bacu barishimiye intambwe tugezeko.,Mes parents sont fiers de nous.,My parents are proud of us.,proverbs,,,,,,
krd_000068_proverbs,,Abavyeyi banje baratunezererewe.,Mes parents sont fiers de nous.,My parents are proud of us.,proverbs,,,,,,
krd_000069_proverbs,,Abavyeyi banje baratwishimiye.,Mes parents sont fiers de nous.,My parents are proud of us.,proverbs,,,,,,
krd_000070_proverbs,,Abavyeyi baratunezerererwa.,Mes parents sont fiers de nous.,My parents are proud of us.,proverbs,,,,,,
krd_000071_proverbs,,Abavyeyi baratwirata,Mes parents sont fiers de nous.,My parents are proud of us.,proverbs,,,,,,
krd_000072_jokes,,"Abavyêyi b'ábarùúndi bavuga bati: ""Nimutubwîre ikosá mwākozé ntaco tubagirá""
Twëse turâzi ibicá bíkurikira uhéjeje kuríbabwîra.","La phrase classique d'une maman burundaise : ""S'il te plaît, dis-nous la faute que tu as commise, on ne te fera rien."" En réalité, nous savons tous ce qui suit sans le dire.","A Burundian mom be like: ""Please tell us the mistake you made, we won't do anything to you."" We all know the hard and unspoken truth that follows.",jokes,,,,,,
krd_000073_jokes,,"Abavyêyi b'ábarùúndi mu kukúbwīra ikīntu, bakubwīra igihushâne câco.",Les mamans burundaises ont une manière unique de communiquer en disant le contraire.,Burundian parents have a unique way of communicating by stating the opposite.,jokes,,,,,,
krd_000074_grammar,,Abayuda bati: Ehe ingene yamukunda,Les Juifs dirent : Voyez comme il l'aimait,The Jews said: See how he loved him,grammar,,,,,,
krd_000075_proverbs,,Abigeme bo mu Burundi ni abigeme b'akaranga,Les femmes du Burundi sont des femmes de coutume,The women of Burundi are women of custom,proverbs,,,,,,
krd_000076_grammar,,"Abigishwa b’Abafarisayo bisonzesha, abigishwa bawe ntibisonzeshe","Les disciples des Pharisiens jeûnent, mais vos disciples ne jeûnent pas","The disciples of the Pharisees fast, but your disciples do not fast",grammar,,,,,,
krd_000077_jokes,,"Abâna bó mw'ìíyi mìísi nabó baragōrana núkurí, Nyina wa Clara : Clara wātôye ikibázo ??, Clara : Oyâye màá, ikibázo gitōra umwìígīsha","De nos jours, les enfants peuvent être débordants d'énergie, La maman de Clara : ""Clara, as-tu rangé ta chambre ?"", Clara : ""Non, Maman, j'attends que la chambre se nettoie toute seule. Après tout, c'est la chambre qui s'est salie, pas moi !""","Nowadays, kids can be a handful, Clara's mom: Clara, did you clean your room?, Clara: No, Mom, I'm waiting for the room to clean itself. After all, it's the room that got messy, not me!",jokes,,,,,,
krd_000078_jokes,,"Abâna bùúbu basigaye bágōye núkurí, Nyina wa junior : Nōné wewé vy’úkurí, kugíra uhebé gukúbagana nzôgukozé ikí ??, Junior : Umutsíma","De nos jours, gérer les enfants est un défi, La maman de Junior : ""Comment puis-je te faire te concentrer sur tes devoirs ?"", Junior : ""Peut-être si tu les transformes en jeu vidéo, je prêterai enfin attention.""","Nowadays, dealing with kids is a challenge, Junior's mom: How can I get you to focus on your homework?, Junior: Maybe if you turn it into a video game, I'll finally pay attention.",jokes,,,,,,
krd_000079_jokes,,"Abâna bùúbu nabó s’ukugōrana ngo basigáze, Nyina wa stecy : Stecy , kubêra ikí utārāvye mutôyá wāwe ??, Stecy : Wambwīye nzé ndarāba ibìíndāba , narīndīye kó andàába ndabúra","De nos jours, les enfants sont vraiment agaçant, La maman de Stecy : ""Stecy, pourquoi n'as-tu pas veillé sur ta petite sœur ?"", Stecy : ""Tu m'as dit de me concentrer uniquement sur ce qui me concerne, donc elle ne me concerne pas.""","Nowadays, kids are really annoying, Stecy's mom: ""Stecy, why didn't you watch out for your little sister?"", Stecy: ""You told me to only focus on my business, so she is not my business.""",jokes,,,,,,
krd_000080_jokes,,"Abâna bùúbu ní hatàári, Nyina wa Alain : Allo aho urakényeye turāré dúhagaze túkurīndiriye, Alain : Erega nàánje sínīcáye màá","De nos jours, les enfants peuvent être agaçants, La maman d'Alain : ""Allo Tu t'attends à ce qu'on organise une fête, à rester éveillés pour toi à cette heure ? Rentre vite à la maison !""
Alain : ""Moi aussi, je ne dors pas, maman.""","Kids these days can be annoying, Alain's mom: ""Hello Do you expect us to throw a party, staying up for you at this hour? Come back home quickly!""
Alain: ""I'm not sleeping either, mom.""",jokes,,,,,,
krd_000081_proverbs,,Abôro babiri ntíbasāngíra umwērēra.,Les âmes misérables ont du mal à partager un verre.,Miserable souls find it hard to share a drink.,proverbs,,,,,,
krd_000082_jokes,,Abāntu bagumá bátubaza igitúma tunywá inzogá nyìínshi.,Pour ceux qui se demandent pourquoi nous consommons beaucoup d'alcool,For those who keep asking why we consume a lot of alcohol,jokes,,,,,,
krd_000083_jokes,,Abāntu batērá inkurú ziryōshé mu midúga rúsàángi turabasavye muzôzé muravúga múnyarutsa kugíra tuzôzé turūruruka twûmvīse ahó vyāheréye.,"À ceux qui racontent des histoires étant dans les transports en commun, une suggestion : Soyez s'il vous plaît brefs, afin que nous puissions descendre peu de temps après la fin de l'histoire.","To those who share stories on public transportations, a friendly suggestion: Keep it brief, so we can disembark shortly after the tale concludes.",jokes,,,,,,
krd_000084_jokes,,Abāntu mu midúga rúsàángi yó mu Burùúndi baratāngāje núkurí.,Les gens dans les transports en commun au Burundi sont un peu particuliers. ,The folks in Burundian public transportation are a bit peculiar.,jokes,,,,,,
krd_000085_jokes,,"Abāntu munyìípfūriza inâbí nimubihagárike, kubêra murí iyi mìísi, mbona umênga murikó murīshurwa.","À ceux qui me souhaitent du mal, je vous prie gentiment de cesser, car il semble que ces jours-ci, vos prières sont entrain d'être exaucées.","To those wishing me harm, I kindly request you to cease because it seems that nowadays, your prayers are getting answered.",jokes,,,,,,
krd_000086_jokes,,"Abāntu muvugá ngo Kubêngwa níco kīntu cā mbere kibabáza, mwèé ntímūzi ububabáre bwó gusāngira n'ábāntu bafisé ibiyîko nàáwe ufíse ifúrushèéti.","Pour ceux qui disent que se faire larguer est la chose la plus douloureuse, vous ne connaissez pas la douleur de manger dans la même assiette que des gens qui ont des cuillères, et vous avec une fourchette.","For those who say that being dumped is the most painful thing, you guys don't know the pain of eating from the same plate with people who have spoons, and you, only have a fork.",jokes,,,,,,
krd_000087_proverbs,,Abāntu n'íbīntu ní magiríranire.,"Chaque personne est une pièce du puzzle, complétant l'image ensemble.","Each person is a piece of the puzzle, completing the picture together.",proverbs,,,,,,
krd_000088_proverbs,,Abāntu ní magiríranire.,Les gens sont faits pour se soutenir mutuellement.,People are made to support each other.,proverbs,,,,,,
krd_000089_proverbs,,Abăkūndanye barânkana.,"L'amour peut se transformer en haine, et les amoureux peuvent se séparer.","Love can turn to hatred, and lovers may part ways.",proverbs,,,,,,
krd_000090_proverbs,,Abămi basāngira ingovyi ntíbasāngíra ingoma.,"Dans le palais, les lits peuvent être partagés, mais pas le trône.","In the palace, beds may be shared, but not the throne.",proverbs,,,,,,
krd_000091_proverbs,,Abό umwămi yahâye amáta ní bo bămwīmye amatwí.,"Méfiez-vous de ceux que le roi favorise, car ils peuvent se retourner contre lui.","Beware of those whom the king favors, for they may turn against him.",proverbs,,,,,,
krd_000092_grammar,,"Aca arabahamagara, basiga se","Immédiatement, il les a appelés et ils ont quitté leur père",Immediately he called them and they left their father,grammar,,,,,,
krd_000093_jokes,,Aca atāngura kūnsaba akaruhūko k'ímìísi itatu.,Il m'a demandé trois jours de congé,They requested three days off,jokes,,,,,,
krd_000094_jokes,,"Aca aza kùúmbwīra kó yambuzé, hāma nca ndamufasha kūndōndera.","Il est venu me dire qu'il était entrain de me chercher , puis nous avons recommencé à me chercher.","He approached me to say he had been looking for me for a long time, only for us to start looking for me again.",jokes,,,,,,
krd_000095_general,,Afise imico myiza cane.,Il est très sympathique.,He is very friendly.,general,,,,,,
krd_000096_jokes,clips/sound_humour/h1.mp3,Agaca kacakiye agahori kano kati urandya neza ndahanda!,"""Faites attention quand vous me croquez car j'ai des épines"", comme disait le criquet attrapé par un épervier !","""Be careful when crunching me for I have thornes"", as the Locust said, caught by a sparrowhawk!",jokes,,,,,,
krd_000097_proverbs,,Agacerere karamfasha gukora.,Le silence m'aide à travailler.,Silence helps me work.,proverbs,,,,,,
krd_000098_jokes,,Inyishú isānzwé: Oya sí jēwé!,"Réponse normale : Non, ce n'est pas moi","Normal people: No, it's not me",jokes,,,,,,
krd_000099_jokes,,Umurùúndi: Indé? Jēwé? Nayatōye hábona ndé?,Réponse burundaise : Qui ? Moi ? Qui m'a vu ?,Burundians: Who? Me? Who saw me?,jokes,,,,,,
krd_000100_proverbs,,Agacerere karamfasha mugukora.,Le silence m'aide à travailler.,Silence helps me work.,proverbs,,,,,,
krd_000101_proverbs,,Agacerere karampfasha gukora.,Le silence m'aide à travailler.,Silence helps me work.,proverbs,,,,,,
krd_000102_proverbs,,Agacîwe karûma.,Une branche coupée devient sèche.,A cut branch becomes dry.,proverbs,,,,,,
krd_000103_proverbs,,Agahemo gatēra ikijûjú ubwĭbone.,"Quand on se moque de lui, le sot pense qu'il est unique.","When people mock him, the fool thinks he's unique.",proverbs,,,,,,
krd_000104_jokes,clips/sound_humour/h2.mp3,Agahume kahwaniye n'akandi ku mwonga ngo rinda tubane waragowe ndagorwa!,"""Vous êtes malheureux et moi aussi, alors supportez ma compagnie"", comme disait le Fantôme rencontrant un compagnon au cœur d'un marais !","""You are unhappy and so will I be, so endure my company"", as the Phantom said meeting a companion in the heart of a swamp!",jokes,,,,,,
krd_000105_proverbs,,Agahîmbo kībagiza kwūgara.,Un estomac satisfait peut oublier de fermer la porte.,A satisfied stomach may forget to secure the door.,proverbs,,,,,,
krd_000106_proverbs,,Agahīnda sí uguhόra uríra.,La douleur ne pleure pas toujours.,Pain is not always crying.,proverbs,,,,,,
krd_000107_jokes,clips/sound_humour/h49.mp3,Agakecuru gashikuye igikoba kigaterera ku nkingi kati nakurya ntitwarwana!,"""Je n'ai que des sentiments paisibles envers toi et je voulais juste te manger"", comme dit la petite vieille femme en jetant de sa tête le pilier de la cabane dans son effort pour déchiqueter un morceau de cuir !","""I have only peaceful feelings towards you and I just wanted to eat you,"" as the little old woman said, throwing from her head the pillar of the hut in her efforts to shred a piece of leather!",jokes,,,,,,
krd_000108_jokes,clips/sound_humour/h27.mp3,Agakecuru karose gapfa kati maze simvyanka!,"""Bien sûr, je ne vais pas refuser ça"", s'exclame la petite vieille au réveil d'un cauchemar où elle s'est vue mourir !","""Of course, I'm not going to refuse that,"" exclaims the little old woman as she wakes up from a nightmare where she saw herself dying!",jokes,,,,,,
krd_000109_proverbs,,Agakuku karimīsha mu rwĭri.,Celui qui ne suit que la marée peut se perdre en mer.,The one who only follows the tide may get lost at sea.,proverbs,,,,,,
krd_000110_proverbs,,Agakúrikiwe n'índa ntígakurá.,Une succession rapide de grossesses entrave une croissance appropriée.,Rapid succession of pregnancies hinders proper growth.,proverbs,,,,,,
krd_000111_proverbs,,Agakúru ntígakuríra ubúsa.,"Quand une histoire voyage loin, il y a souvent une vérité ou un but à l'intérieur.","When a story travels far and wide, there's often truth or purpose inside.",proverbs,,,,,,
krd_000112_proverbs,,Agakûnze babiri karabânkanīsha.,"Quand deux cœurs battent pour la même passion, l'amour peut se transformer en rivalité.","When two hearts beat for the same passion, love can turn into rivalry.",proverbs,,,,,,
krd_000113_proverbs,,Agapfûye kaba gáheze.,"Après la mort, les vivants continuent, et les disparus sont oubliés.","After death, the living move on, and the departed are forgotten.",proverbs,,,,,,
krd_000114_proverbs,,Agapfûye kabazwa ivú.,La voix d'un mort est rarement entendue.,A dead man's voice is seldom heard.,proverbs,,,,,,
krd_000115_grammar,,"Agaruka ubugira gatatu, arababarira.",Il revint une troisième fois et leur dit,He came back the third time and said to them,grammar,,,,,,
krd_000116_proverbs,,Agashâje gashira isóni.,"Avec les années, le filtre sur les mots s'affaiblit.","As years pass, the filter on words weakens.",proverbs,,,,,,
krd_000117_proverbs,,Agashítsi kā kêra kavūmbika umuriro.,Un vieux bois peut allumer le feu.,An old wood can ignite the fire.,proverbs,,,,,,
krd_000118_proverbs,,Agaswi katazôkúra ukērekwa n'úrwŭbi.,Les présages précoces offrent un aperçu du drame de l'adversité qui se déroule.,Early omens offer glimpses into the unfolding drama of adversity.,proverbs,,,,,,
krd_000119_proverbs,,Agasózi k'întáhanûrwa kăhīye abagabo bábona.,Celui qui rejette les conseils se retrouve sans aide en temps de besoin.,One who rejects advice finds themselves without a helping hand in times of need.,proverbs,,,,,,
krd_000120_proverbs,,Agatu gatēkéye amáhwa karîmena.,Une boule d'épines se piquera elle-même.,A ball of thorns will prick itself.,proverbs,,,,,,
krd_000121_proverbs,,Agáti gaterétswe n'Îmâna ntígahenúrwa n'úmuyaga.,"Avec les bénédictions de Dieu, on reste inébranlable face à toutes les adversités.","With God's blessings, one stands unyielding against all odds.",proverbs,,,,,,
krd_000122_proverbs,,Aha twotanga uturorero nko kubinyamakuru n’amaradiyo,Nous donnons ici des exemples tels que les journaux et les stations de radio,Here we give examples such as newspapers and radio stations,proverbs,,,,,,
krd_000123_proverbs,,Ahakíze hītwa inkóvu.,Une blessure qui guérit est toujours appelée une cicatrice.,A wound that heals is always called a scar.,proverbs,,,,,,
krd_000124_action-verbs,,Ahantu imodoka rusange zihagarara ni he?,Où est l'arrêt de bus?,Where is the bus stop?,action-verbs,,,,,,
krd_000125_action-verbs,,Ahantu imodoka z'Umuyagankuba zihagarara ni he?,Où est la gare?,Where is the station?,action-verbs,,,,,,
krd_000126_proverbs,,Aharí abagabo ntíhagwá ibára.,"Là où il y a des hommes intègres, les conflits cessent d'exister.","Where there are men of integrity, conflicts cease to exist.",proverbs,,,,,,
krd_000127_proverbs,,Aharí abântu hāma urūnturūntu.,"Là où il y a une foule, il y a des discussions.","Where there's a crowd, there's talk.",proverbs,,,,,,
krd_000128_proverbs,clips/sound_proverb/prov032.mp3,Aharí amahóro umuhoro uramwa.,La paix est un atout très important dont dépend tout succès.,Peace is a very important asset on which every success depends.,proverbs,,,,,,
krd_000129_proverbs,,Aharí umwěnge haca umuyaga.,"Là où il y a un trou, le vent trouvera son chemin.","Where there's a hole, the wind will find its way in.",proverbs,,,,,,
krd_000130_grammar,,Ahinduka ukundi imbere yabo,Il a changé avant eux,He changed before them,grammar,,,,,,
krd_000131_proverbs,clips/sound_proverb/prov019.mp3,Aho Uburundi butunze urutoke hubakwa inzu.,"En harmonie, tout réussit.","In harmony, everything succeeds.",proverbs,,,,,,
