File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,word_count,char_count
,"Abanyagihugu baracavugako hakenewe ibikorwa vyihuta mu bijanye n’imigenderanire, isuku, n’ibikoresho rusangi",,,general,"Les citoyens parlent encore de la nécessité d'agir d'urgence en matière de communication, de propreté et d'équipements publics.",,,,,,11,108
,Abanyagihugu bose barafise uburenganzira bwo gushikira abo bakeneye bajejwe imirimo ya Leta.,,,general,Tous les citoyens ont le droit d'accéder à ceux qui ont besoin de représentants du gouvernement.,,,,,,12,92
,Abanyagihugu bose baranganya amateka kandi amabwirizwa abakingira kumwe.,,,general,Tous les citoyens partagent la même histoire et les mêmes lois qui les protègent.,,,,,,8,72
,Abanyagihugu bose bategerezwa kurangura ivyo vyose igihugu kibakeneyeko n’ukukirwanira.,,,general,Tous les citoyens doivent répondre à tous les besoins du pays et le défendre.,,,,,,9,87
,"Abanyagihugu ni bo soko ry’ubutegetsi mu gihugu, ni bo bitorera ababaserukira biciye mu matora",,,general,"Les citoyens sont la source du pouvoir dans le pays, ce sont eux qui élisent leurs successeurs par le biais d'élections.",,,,,,14,94
,"Abanyeshure tweho turafise igihe twivurizako. Hari aho badutera inshinge canke bakaducandaga, kugira ngo badukingire indwara.",,,general,"Nos étudiants ont le temps de guérir. Il y avait des endroits où ils nous injectaient ou nous injectaient, pour nous protéger des maladies.",,,,,,15,125
,"Abapfundikaniriza wa mugozi, baca babandanya gutaha bikinira.",,,general,Ceux qui couvraient la corde continuaient ensuite à rentrer chez eux et à jouer.,,,,,,7,61
,Abarekuriwe gutora hakurikijwe igitabu c’amategeko agenga amatora ni abarundi bose bakwije imyaka cumi n’umunani n’abayirenza.,,,general,"Conformément à la loi électorale, sont autorisés à voter tous ceux qui ont dix-huit ans ou plus.",,,,,,15,126
,Abarimyi basigaye bakuraba ribi. None uremeye dupfe n’inzara ? Imvura : Jewe mwaranyobeye.,,,general,Les agriculteurs sont laissés avec vous. Croyez-vous que nous mourons et avons faim ? Pétrole : j'applaudis.,,,,,,13,90
,"Abarundi bo hambere ngo bari baciye ubwenge, kuko bashobora kurimbura umwaka bakamenya aho utangurira n’aho uherera",,,general,"Les anciens Burundais, ils étaient intelligents, parce qu'ils pouvaient détruire une année et apprenaient par où commencer et par où commencer.",,,,,,16,115
,Abarundi bose barafise uburenganzira bwo kuba mu Burundi mu mahoro no mu mutekano.,,,general,Tous les Burundais ont le droit de vivre au Burundi en paix et en sécurité.,,,,,,13,82
,"Abarundi bose barafise uburenganzira bwo kuja no kugerera ata nkomanzi ahariho hose mu Burundi, kuhimuka canke kuhagaruka.",,,general,"Tous les Burundais ont le droit d'aller fermer à vide au Burundi, de s'y amuser ou d'y revenir.",,,,,,17,122
,Abarundi bose baranganya iteka n’ivyo bakwiye kuronka.,,,general,Tous les Burundais sont impatients de faire ce qu’ils devraient faire.,,,,,,7,54
,Abarundi bose baranganya uburenganzira bwo kuja muri Leta.,,,general,Tous les autres se voient refuser le droit de venir dans l'État.,,,,,,8,58
,Abarundi mu kuyaharura bafundika imigozi,,,general,D'autres en les comptant brisent les cordes,,,,,,5,40
,"Abarundi twese tukakivuga neza kandi co kimwe mu gihugu cose, ni nkenerwa",,,general,"Nous devons tous parler clairement et de la même manière dans tout le pays, c'est nécessaire",,,,,,12,73
,Abashakashatsi bavuga ko Uburundi bwamyeho nk'igihugu cikwiye kuva mu kinjana ca 16,,,general,Les chercheurs affirment que le Burundi existe en tant que pays à part entière depuis le 16ème siècle,,,,,,12,83
,Abashiranganji bajejwe kuzikurikiza barashira igikumu ku ngingo zishinzwe n’Ivyegera vy’Umukuru w’igihugu.,,,general,Les fonctionnaires chargés de leur exécution sont responsables des articles assignés par le Président de la République.,,,,,,11,106
,Abategetsi mfatakibanza baragena umurwi wigenga ujejwe gutunganya amatora mu gihugu cose.,,,general,Les gouvernements locaux nomment un organisme indépendant chargé d'organiser les élections dans tout le pays.,,,,,,11,89
,Abavyeyi bacu baradukunda na twe turabakunda.Baratugaburiye ibikorwa dushobora kubafashamwo.Ndibanjeb amushinze kuragira.,,,general,Nos parents nous aimaient et nous les aimons.,,,,,,11,121
,"Abavyeyi bapfa kubareka, ariko baba babibona. Bahejeje gutonora, baca batangura kugana.",,,general,"Les parents meurent pour les avoir quittés, mais ils comprennent. Après avoir fini de nettoyer, ils commencèrent à partir.",,,,,,11,87
,Abavyeyi barakwiye kwegera urwaruka  bakarusigurira ico imico ivuga maze rukamenya uko rwitwararika kazoza karwo,,,general,Les parents devraient approcher les jeunes et leur expliquer ce que dit la culture et comment elle se soucie de son avenir.,,,,,,14,112
,Abavyeyi basanganywe uburenganzira kama bwo kurera neza abana babo kandi barabitegerezwa.,,,general,Les parents ont le droit naturel de bien élever leurs enfants et ils doivent le faire.,,,,,,11,89
,"Abavyeyi bashitse, baramushimira cane, mbere se aca amugabira imiswi ibiri y’inkoko.",,,general,"Quand les parents sont arrivés, ils étaient fiers de lui et ont même pris deux poules.",,,,,,11,84
,"Abavyeyi, na bo bakagerageza gukundisha abana babo ururimi rwacu mu kubacira imigani, mu kubigisha ibisokozo n’ibindi biranga amayagwa y’Ikirundi",,,general,"Les parents essaient également de faire apprendre notre langue à leurs enfants en leur racontant des histoires, en leur apprenant des histoires et d'autres caractéristiques de la langue ourdou.",,,,,,19,145
,"Abawugize bagenwa n’Itegeko ry’Umukuru w’igihugu babanje kwemerwa n’ibice bitatu vya bine vy’abashingamateka n’abakenguzamateka, bamwe bose batora ukwabo.",,,general,"Ses membres sont déterminés par la loi présidentielle et sont d'abord approuvés par les trois quarts des législateurs et des critiques, dont certains votent de manière indépendante.",,,,,,17,154
,Abayobozi batandukanye mu busumbasumbane bashinzwe kuraba nimba kureka abakozi gukoresha ivyo bikoresho bidatera ihohoterwa kuri bamwe.,,,general,Différents responsables sur le lieu de travail sont chargés de vérifier si le fait d'autoriser les salariés à utiliser ces appareils n'entraîne pas de violence envers autrui.,,,,,,16,135
,"Abenegihugu bangana n'imiriyoni umunani ugereranije bagwirirana ku rugero rugwijije na kabiri uko imyaka mirongo itatu iheze, bakagwira kurugero rungana n’ibice bitatu kw'ijana (3%) ku mwaka",,,general,"La population moyenne de huit millions de personnes a doublé au cours des trois dernières décennies, augmentant à un rythme de trois pour cent (3 %) par an.",,,,,,25,190
,Abenshi muri abo birabagora cane kwiteza imbere kuko baba bavuye mw'ishure bakiri bato kandi ata bumenyi bukwiye bafise,,,general,Beaucoup d'entre eux se retrouveront à se développer car ils sont encore jeunes à l'école et n'ont pas besoin,,,,,,18,119
,"Abenshi rero muri bo kudatahura ivy’imico, baragwa mu ngorane nyishi cane mbere zituma ubuzima bw’urwaruka buhungabana.",,,general,"Par conséquent, la plupart d’entre eux ne comprennent pas la morale et se retrouvent dans des problèmes très graves qui rendent la vie des jeunes instable.",,,,,,16,119
,"Abigeme barashoboye, barafasha bimwe bishimishije mw’iterambere",,,general,"Les filles sont capables, elles contribuent un peu au plaisir dans le développement",,,,,,6,63
,Abo bantu akaba ari intwari zo gushimagiza dushimitse,,,general,Ces gens sont des héros qui méritent d'être loués,,,,,,8,53
,Abo bantu bamuhagarikira bategerezwa kuba bakwije ibisabwa abashaka kwitoza mw’ibanga ry’abashingamateka.,,,general,Ceux qui l’attendent doivent répondre aux exigences de ceux qui veulent se former au secret des législateurs.,,,,,,11,105
,"Abo bikoreye ibiseke rero, Ndayisaba bari bahuriye mu nzira akija kw’ishure.",,,general,"Ces paniers fonctionnent, je leur demande qu'ils étaient venus par le chemin de l'école.",,,,,,11,76
,"Abo bose mubona bari bameze nkatwe, none barahindutse bameze nk’Abazungu”.",,,general,"Tous ceux que vous voyez étaient comme nous, et maintenant ils ont changé comme les blancs ».",,,,,,10,74
,"Abo kinaniye barashobora guhitira canke bagaheba kwiga, bakaja kurondera ubuzima mu myuga mitomito",,,general,Ceux qui échouent peuvent choisir ou abandonner leurs études et gagner leur vie grâce à de petits emplois,,,,,,13,98
,"Abo mu bushikiranganji bw’imico nabo, bari bakwiye gushiraho agashimwe k’umumenyeshamakuru canke ikinyamakuru citwaye neza mu guha agateka ururimi rw’Ikirundi, kandi bariho",,,general,"Ceux du ministère de la Culture auraient également dû créer un prix pour un journaliste ou un journal qui aurait réussi à privilégier la langue kurde, et ils sont là.",,,,,,21,172
,"Abo na bo bava mu bisata bitandukanye harimwo indimi, imbogorabwenge , ubuganga, ubuhinga, n’ibindi",,,general,"Ils viennent également de différents domaines dont les langues, la psychologie, la médecine, l'ingénierie, etc.",,,,,,14,99
,"Abonye ko bindyoheye, anyemerera ko azonzanira ibindi hanyuma. Araheza arantumira ngo nzoje kubirya mu buruhuko. Na bwo bwari bwegereje !",,,general,"Lorsqu'il l'a vu, il m'a permis de m'apporter quelque chose par la suite. Puis il est venu vers moi pour que je les mange avec courage. Il s'est approché !",,,,,,20,137
,"Ab’ubu mukunda ivyo murya! Emwe, ndinze ngana ntya ntarayikoza ku munwa.",,,general,"Vous mangez ce que vous mangez ! Eh bien, j'étais comme cette bouche.",,,,,,11,72
,Aca atangura gutonora. Abana bakuze na bo nyene baramufasha. Mugabo hari aho batonorera mu kanwa.,,,general,"Puis il s'est mis à chanter. Les enfants plus âgés l'aident également. Mais parfois, ils murmurent dans leur bouche.",,,,,,15,97
,"Afungurwa nk'imbogaboga, bakayita Igitikatika",,,general,"On l'ouvre comme un légume, et on l'appelle Itikatika",,,,,,4,45
,"Agaca kaba kakabonye kera, karamanuka. Hamwe kagira ngo kagacakire, nyene urugo aca araseruka, arakamira karaguruka.",,,general,"Ceux qui étaient suffisants, et ce sera pareil. Voici, dit-il, j'avais de l'urgarare, et j'avais de l'urgara, et il l'a meurtri, il a avalé.",,,,,,15,116
,Agakengere kava mu gakenguzo.,,,proverbs,La porte sort de la porte.,,,,,,4,29
,Agashaje bakanya hejuru.,,,proverbs,Le vieil homme a cliqué sur le dessus.,,,,,,3,24
,Agashitsi kakera kavumbika umuriro.,,,proverbs,La vieille maison brûle.,,,,,,4,35
,Agasozi k'intahanurwa gasha abagabo babona.,,,proverbs,La montagne des prophéties est ce que les hommes voient.,,,,,,5,43
,Agasumba akandi karakamira.,,,proverbs,Une autre chose est d'être avalé.,,,,,,3,27
,Agati gateretswe n'Imana ntigahenurwa n'umuyaga.,,,proverbs,Le pain envoyé par Dieu n'est pas emporté par le vent.,,,,,,5,48
,Agatosho kari amarere gatemba kaja haruguru.,,,proverbs,Le grain était l’air qui coulait vers le haut.,,,,,,6,44
,Agatu gatekewe gatera amakenga.,,,proverbs,Les suspects suscitent les soupçons.,,,,,,4,31
,Agatu k'amagara ntigatwarwa n'uwufyina.,,,proverbs,Le fardeau de la santé n’est pas supporté par les pauvres.,,,,,,4,39
,Agenwa n’Umukuru w’igihugu abanje guhanuza Ivyegera vy’umukuru w’igihugu canke bikemezwa n’Inama nkenguzamateka.,,,general,Ils sont nommés par le chef de l'État après approbation du chef de l'État ou après approbation du Conseil historique.,,,,,,12,112
,"Ageze i muhira nyina ntivyamubabaje cane, kuko Kabanyana yahora yitonda.",,,general,"Son arrivée à la maison n'était pas très triste, car Kuba était toujours en deuil.",,,,,,10,72
,"Agira ayishikire, iraturumbuka, imushinga amenyo kumurundi. Aca yiruka i muhira agenda arakoma induru. Agira",,,general,"Quand il l'obtient, ça explose, il met ses dents sur l'autre. Puis il est rentré chez lui en courant en criant. Il a",,,,,,14,108
,Agira ishavu araheba ati: «Nakurya ntitwarwana. Ndahatswe nari mpwereye.»,,,general,Il a angoissé sa douleur et l'a quitté : « Ne le faisons donc pas. J'ai été opprimé.>>,,,,,,9,73
,"Aha atandukiriye ica kabiri, murumunawe Congera arinjira, asanga ariko arakirya. Amuha icari gisigaye barasangira.",,,general,"Ici tu n'as pas donné la seconde, ton frère Créateur entre et voit un repas. Il lui a donné ce qui restait et l'a partagé.",,,,,,14,114
,Aha novuga nko kwandikiranira amakete ; abarutse ubu bavyumva ku matwi,,,general,"Ici, je parle de s’écrire des lettres ; ceux qui ont fui l'entendent maintenant dans leurs oreilles",,,,,,11,70
,"Aha turiko turaganira n’abahari, akana gato kari ngaho, gafise nk’amezi cumi",,,general,"Ici on parle des résidents, un moment là-dedans, ça fait une dizaine de mois",,,,,,11,76
,"Aha twovuga nk’abagize imigwi ndangakaranga, abakora ibikorwa vy’ubuhazampano mu rurimi rw’Ikirundi, tutibagiye n’abandi bakora ibikorwa bitandukanye bigamije guteza imbere urwo rurimi",,,general,"Nous parlons ici des membres de groupes internationaux, de ceux qui travaillent dans la langue kurde, sans oublier d'autres qui font diverses activités visant à promouvoir la langue.",,,,,,21,184
,"Aha twovuga nk’ikwadarato,inyabutatu,urukiramende,umwashi,inganamwashi n’ayandi menshi yakoreshwa mu cigwa c’ibiharuro",,,general,"Ici on peut parler de carrés, triangles, rectangles, carrés, rectangles et bien d'autres qui peuvent être utilisés en mathématiques.",,,,,,9,118
,"Aha twovuga nk’imico yo kuvuga ngo umwigeme ni umunyakigo, umwigeme ntatahe bugorovye, nta mashure y’umwigeme n’ibindi bitubuza gushika kw’iterambere",,,general,"Ici, on peut parler des manières de dire qu'une femme est une institution, qu'une femme ne va nulle part, qu'il n'y a pas d'écoles privées et d'autres choses qui nous empêchent de progresser.",,,,,,19,149
,"Aha ubona ndabazeyeko twinshi, nta bindi nshaka kubagoza, kandi ntiwumve ntizari zinyondeje.",,,general,"Ici, vous voyez beaucoup de choses, vous ne voulez rien d'autre et vous n'avez pas l'impression qu'ils méditent.",,,,,,12,92
,Ahandi na ho uja wumva umuntu avuze ati:“Jewe ndi umuzungu mu mutwe,,,general,"Sinon tu vas ressentir : ""Je suis un blanc",,,,,,12,67
,"Ahandi, ni iyo inka yagumbashe",,,general,"Ailleurs, c'est la vache qui portait",,,,,,5,30
,Ahari abagabo ntihagwa ibara.,,,proverbs,Certaines personnes ne sont pas tombées.,,,,,,4,29
,Ahari ubumwe urusato rw'imbaragasa rwifuka batanu.,,,proverbs,Il existe une combinaison de cordons d'alimentation à cinq poches.,,,,,,6,50
,Ahari umugabo hashira umugayo.,,,proverbs,Peut-être que l'homme a des ennuis.,,,,,,4,30
,Ahavuye umugabo hasubira umugayo.,,,proverbs,"Finalement, l'homme est revenu au village.",,,,,,4,33
,Ahejeje ni ho yamubaza ati: «Wakomerekejwe niki? Ubwo ntiwakomerekejwe n’iyo mbugita? Ewe Madebari warabuze iit ihero ry’imiti !»,,,general,"Lorsqu'il eut fini, il lui demanda : << Qu'est-ce qui t'a fait mal ? Vous n'avez pas été blessé par cette attaque ? O Madebari, tu as perdu beaucoup de médicaments !>>",,,,,,18,129
,"Ahindukiye, acokera mu kinogo, yikubita hasi, wa mubindi",,,general,"Il se retourne, attrape le singe et tombe au sol",,,,,,8,56
,"Aho bigeze mu gihe ca none, ukumenya izindi ndimi, maze ukayoberwa burundu ururimi kavukire, bisigaye umengo ni bwo butore, ni ryo terambere.",,,general,"Lorsqu’il s’agit des temps modernes, d’apprendre d’autres langues et de perdre complètement sa langue maternelle, il ne reste plus que le choix, le développement.",,,,,,22,141
,"Aho hambere hahise, bitewe n’umutima w’ukuzigama n’ugutsimbataza intahe y’ukwikukira, indongozi zari zarashizeho urwego nshingwakirundi",,,general,"Dans le passé, dans un esprit de salut et en cultivant un témoignage de salut, les dirigeants avaient créé un nouveau niveau de responsabilité.",,,,,,14,135
,Aho ivunikiye yorima.,,,proverbs,Aho ivunikiye yorima.,,,,,,3,21
,Aho kwicara ku mutogoto w'inkono wokwicara kw'ijambo rya nyene yo.,,,proverbs,"Au lieu de s'asseoir devant un pot jusqu'aux pieds, s'asseoir sur le même mot d'authenticité.",,,,,,10,66
,"Aho nakuburije, wasubiriye kurya ivyo mu gahinga ? Urazi iyo vyavuye ? Ubwo si ivyibano ?",,,general,"Quand j'étais bon, retournerais-tu les manger dans le désert ? Vous savez quand il s'agit de ? N'est-ce pas un couple ?",,,,,,16,89
,"Aho ndi hose ntihayoberana, bankoza muziko akotsi kagasumba inzu, uwuri hakurya ati: «Kwa naka baracanye.»",,,general,"Mais il n'y a aucune tromperie en disant, sachant que le puits qui espionne cet att et me connaît depuis la maison : <<<<Là ils + ils mourraient.""",,,,,,15,106
,"Aho rero, rukagenda rwikoreye imico ndangakaranga na ndorabwenge  y’abaruvuga» ;",,,general,"Par conséquent, il devient de plus en plus caractéristique et intelligent de ceux qui le parlent>> ;",,,,,,10,80
,"Aho uko intwaro za ba kavamahanga zateye ibindi bihugu gutakaza indimi zavyo, maze bigatorana ururimi rw’umukoroni, tweho twararusimvye",,,general,"Au lieu que les gouvernements étrangers fassent perdre à d’autres pays leur langue et choisissent la langue coréenne, nous l’avons remplacée.",,,,,,18,135
,Aho umukecuru atoye uruhindu ahita mu ruganda.,,,proverbs,Où la vieille dame récoltait le riz directement à l'usine.,,,,,,7,46
,Aho umworo yanikiye ntibwuma.,,,proverbs,"Là où l’eau sèche, elle ne sèche pas.",,,,,,4,29
,Aho wabukaranga nari musi y'urugi.,,,proverbs,J'étais au bas de la porte.,,,,,,5,34
,Ak'imuhana kaza imvura ihise.,,,proverbs,"Lorsqu'il le punit, il se met à pleuvoir.",,,,,,4,29
,Akababaje umutima kazindura amaguru.,,,proverbs,Son cœur est brisé et ses jambes sont brisées.,,,,,,4,36
,Akabigira kabizi karya imboga karitse.,,,proverbs,Et il sait couper les légumes pourris.,,,,,,5,38
,Akadatetswe karotswa.,,,proverbs,Il aurait été extrait de la voiture.,,,,,,2,21
,Akagomba kateranije umukwe na inabukwe.,,,proverbs,Il doit rassembler le marié et la mariée.,,,,,,5,39
,Akagomba mukuryana akandi kagira ngo igirayo uranuka.,,,proverbs,"Si vous en mangez, vous vous sentirez malade.",,,,,,7,53
,Akagutanze imbere kaba kagusize.,,,proverbs,Qu'il nous cède la route et qu'il nous quitte.,,,,,,4,32
,Akahise k’Uburundi karanzwe n’igihe c’ubwami bwa kera bwabayeho imbere y’ubukoroni,,,general,L'histoire du Burundi est caractérisée par la période de l'ancien royaume qui existait avant la période coloniale.,,,,,,10,82
,"Akahise k’Uburundi karanzwe n’igihe c’ubwami bwa kera bwabayeho imbere y’ubukoroni, n’imbibe zitahindutse",,,general,"L'histoire du Burundi est caractérisée par la période de l'ancien royaume qui existait avant la période coloniale, et les régions qui n'ont pas changé",,,,,,12,105
,Akaje ntikazira umwe.,,,proverbs,Il ne sera pas seul.,,,,,,3,21
,"Akamaro n’inyubako vyarwo, tuzobica mu mizi muri runo rukurikirane rw’ibisomwa",,,general,"Son importance et sa structure, nous nous enracinerons dans cette série de lectures",,,,,,10,78
,Akamuntu kamara iyagwe.,,,proverbs,Si quelqu'un tombe.,,,,,,3,23
,Akanovera mu nyandiko nk’akarusho mu kuronka akazi Abatari bake ntibaramenya ko no kuryohora inyandiko bishobora kuba mu bitanga akazi kabeshaho umuntu mbere akabeshaho n’abiwe,,,general,Les compétences rédactionnelles comme avantage pour trouver un emploi Beaucoup de gens ne savent toujours pas que les compétences rédactionnelles peuvent être l'une des choses qui permettent à une personne de travailler et de gagner sa vie.,,,,,,24,176
,Akanse uraheba.,,,proverbs,Uraheba spécial.,,,,,,2,15
,Akantu kagirwa n'akandi.,,,proverbs,Quelque chose est fait par un autre.,,,,,,3,24
,Akantu ntigakorwa na kamwe.,,,proverbs,Rien n'est fait du tout.,,,,,,4,27
,Akanyoni kaja kurya akandi kagira ngo unuka urunkeke.,,,proverbs,Un oiseau est venu manger et ça sentait l'oiseau.,,,,,,8,53
,Akarenganyo gasasiwe indava kugeza iyo; intahe ya Ndihokubwayo irabigaragaza,,,general,L’injustice des fusillades ne s’arrête pas d’ici là ; Le témoignage de Ndihokubwayo le montre,,,,,,9,76
,Akari mu mpene niko kari mu ntama.,,,proverbs,Ce qui est dans le mouton est ce qui est dans le mouton.,,,,,,7,34
,Akari mu nda y'umugabo gaserurwa n'akari mu nda y'umubindi.,,,proverbs,Le ventre d’un homme est séparé du ventre d’un autre.,,,,,,9,59
,"Akarorero ni inda z’indaro, abigeme basambuza ingo zubatse, abagabo bagendana n’abangana n’abo bavyaye, ukubaka hataragera, abana batabwa mu binogo, uguharika nibindi",,,general,"Citons par exemple les grossesses extra-utérines, les femmes qui quittent le foyer marié, les hommes voyageant avec leurs égaux, les naissances prématurées, les enfants jetés dans les fossés, les divorces, etc.",,,,,,21,166
,Akazi k'ibwami kica uwicaye.,,,proverbs,Le travail du tribunal s'est alors arrêté.,,,,,,4,28
,"Akazina kanje Ndi diridiri, ndi umwana w’abadasigana. Ndi muto sindi gito. Ubumwe buva hasi. Nshwashwanukira bose.",,,general,"Mes dals, je suis un plat, je suis un enfant innocent. Je suis un peu plus jeune. L'unité s'effondre. Restaurer tout le monde.",,,,,,16,114
,Akaziri karizana.,,,proverbs,La promesse arrive.,,,,,,2,17
,"Akazuba kamaze gufata, data aca arekura inyana agakama. Imbere yo guturutsa, mama aragaburira",,,general,"Quand le soleil se couchait, mon père laissait sécher le veau. Devant nous, la mère nourrit",,,,,,13,93
,Akeza keza umutima.,,,proverbs,Ayez bon cœur.,,,,,,3,19
,"Ako kayoga gaheze, abatumire barataha. Data abageza imbere ya irembo, aca arugarira. Ahejeje, arahindukira, aguma aganira",,,general,"A la fin, les invités sont rentrés chez eux. Quant à eux, mon Père devant le portail, il ouvre le passage. Quand il eut fini, elle se tourna et parla",,,,,,16,121
,"Akoresha ubwo bubasha mu gushinga amategeko ashirwako igikumu, bikenewe, n’Icegera c’Umukuru w’igihugu n’Umushikiranganji vyerekeye.",,,general,Il utilise ce pouvoir pour créer des lois établies par le Président et le Premier ministre.,,,,,,14,132
,"Akubitira munsi y’urugo kuraba yuko nyina yoba ari kubagara ibiharage, arabura. Agarutse, asanga umwotsi wabaye mwinshi.",,,general,"Il est allé sous la maison pour voir si sa mère était enceinte et il a disparu. À son retour, il trouva la fumée épaisse.",,,,,,16,120
